tournament_id,year,team,wc_ppg,wc_matches,cont_ppg,cont_n,comp_ppg,pre_elo
WC-2006,2006,Ukraine,1.4,5,,0,2.0833333333333335,1791.4421211873407
WC-2006,2006,United States,0.3333333333333333,3,2.3333333333333335,6,2.25,1888.9438624240458
WC-2006,2006,Costa Rica,0.0,3,1.75,4,1.6,1760.2732297999833
WC-2010,2010,Netherlands,2.7142857142857144,7,2.25,4,2.727272727272727,2062.3420388613986
WC-2010,2010,Ivory Coast,1.3333333333333333,3,1.3333333333333333,3,2.1538461538461537,1826.9382506584107
WC-2010,2010,Japan,1.75,4,1.5,6,2.1904761904761907,1769.3847585887684
WC-2010,2010,Brazil,2.0,5,2.1666666666666665,6,2.1578947368421053,2143.77603259122
WC-2010,2010,Australia,1.3333333333333333,3,1.25,4,2.125,1853.7999183364873
WC-2010,2010,South Africa,1.3333333333333333,3,0.6666666666666666,3,1.4,1678.7343329048815
WC-2010,2010,Denmark,1.0,3,,0,2.1,1785.1645783948752
WC-2010,2010,South Korea,1.0,4,1.1666666666666667,6,2.0,1839.2667593437009
WC-2010,2010,Argentina,2.4,5,2.5,6,1.3571428571428572,1935.1289608799134
WC-2010,2010,Nigeria,0.3333333333333333,3,1.6666666666666667,6,2.125,1809.3498501484173
WC-2010,2010,Algeria,0.3333333333333333,3,1.1666666666666667,6,1.7647058823529411,1636.9625483498482
WC-2010,2010,Switzerland,1.3333333333333333,3,1.0,3,2.0,1780.8634664677068
WC-2010,2010,Slovenia,1.3333333333333333,3,,0,1.9166666666666667,1701.5598247148655
WC-2010,2010,New Zealand,1.0,3,,0,1.375,1681.3133807016138
WC-2010,2010,Spain,2.2857142857142856,7,2.6666666666666665,6,2.75,2136.983404271943
WC-2010,2010,Chile,1.5,4,1.0,4,1.875,1917.1489815759912
WC-2010,2010,France,0.3333333333333333,3,0.3333333333333333,3,1.7857142857142858,1883.8929829698102
WC-2010,2010,Portugal,1.25,4,1.5,4,1.8666666666666667,1898.4619766089977
WC-2010,2010,Germany,2.142857142857143,7,2.0,6,2.3333333333333335,1977.6699311577822
WC-2010,2010,Uruguay,1.5714285714285714,7,1.3333333333333333,6,1.5,1872.2049700887837
WC-2010,2010,Serbia,1.0,3,,0,2.0833333333333335,1867.340114578998
WC-2010,2010,Ghana,1.2,5,1.8,5,1.8666666666666667,1775.2785513445212
WC-2010,2010,Greece,1.0,3,0.0,3,1.7142857142857142,1753.8877207697335
